"Site.ID","Elevation","SAMPLE.ID","Amax_Photo..umol.m2.s.","Amax_CiCa","Amax_Tleaf..C.","Amax_CO2..ppm.","Asat_Photo..umol.m2.s.","Asat_CiCa","Asat_Tleaf...C.","Asat_CO2..ppm.","Vcmax","Jmax"
242,290,2902,30.3,0.9,22.55,1457.16,18.08,0.79,22.63,377.21,63.6683702303243,134.808014366839
242,290,2903,18.75,0.94,22.37,1472.21,10.49,0.88,22.3,386.41,32.5093383918164,82.6916738975835
242,290,2904,28.7,0.87,25.08,1458.45,14.96,0.77,24.97,379.91,63.1576802014229,129.742852344401
242,290,2905,11.54,0.82,25.32,1484,2.66,0.82,25.97,395.1,11.0063567736148,51.8162445846373
242,290,2906,28.87,0.79,27.5,1480.9,6.37,0.83,27.57,396.42,29.2590393644959,131.910623084278
242,290,2907,16.52,0.83,24.03,1478.29,7.61,0.79,24.04,390.23,28.6801411381325,74.1935499795191
242,290,2908,34.7,0.87,22.35,1486.15,21.42,0.75,22.18,391.71,74.0568561400861,154.483427157243
242,290,2909,48.59,0.85,26.9,1483.1,23.59,0.7,27.59,392.61,129.760065556916,222.953138829295
242,290,2910,17.18,0.79,25.16,1478.55,6.3,0.67,25.37,392.97,30.3053319027361,78.0306226814205
242,290,2911,30.94,0.87,24.23,1477.99,16.52,0.75,23.58,388.46,63.3301316166698,138.894650001146
242,290,2912,17.83,0.96,27.24,1490.9,3.22,0.97,27.1,397.5,12.3783045699907,79.3312220888822
242,290,2913,15.09,0.9,22.72,1480.47,8.55,0.82,22.74,388.56,28.7000918154156,66.9663339081107
242,290,2914,14.2,0.94,27.56,1477.8,7.93,0.88,27.63,389.38,35.2185597904684,64.5980568276281
242,290,2915,22.4,0.9,23.6,1465.92,13.26,0.8,23.47,381.59,48.4466199051817,100.139020557301
242,290,2916,10.08,0.84,25.21,1484.93,3.82,0.89,24.93,394.27,13.704598054324,45.3009157996707
242,290,2917,16.61,0.84,24.72,1477.22,8.94,0.78,24.67,389.12,35.7148723099402,75.0798718178995
242,290,2918,15.45,0.91,23.26,1477.03,8.52,0.87,23.14,389.76,27.9180481630641,68.612106046383
242,290,2919,18.19,0.92,23.13,1481.23,9.58,0.87,23.14,390.19,31.3637666772217,80.5745455734744
242,290,2920,13.99,0.84,29.16,1483.58,6.13,0.78,28.48,392.84,32.4143132831781,64.9043346301971
242,290,2921,28.73,0.89,26.86,1465.28,14.92,0.82,26.66,383.42,66.7906149163057,130.877572017232
243,325,2922,16.96,0.93,25.71,1470.55,10.7,0.88,25.79,384.39,42.1514808005092,76.5944127376494
243,325,2923,26.26,0.84,24.66,1462.96,13.88,0.72,24.59,381.78,60.5083091535232,119.004555115133
243,325,2924,23.54,0.91,23.75,1465.01,15.02,0.81,23.58,379.36,55.1055425360926,105.43109250233
243,325,2925,17.58,0.86,26.23,1473.92,9.66,0.76,25.93,386.76,43.7268778760786,80.215818380519
243,325,2926,18.69,0.93,25.06,1484.18,9.86,0.91,24.91,391.89,34.9273406154837,83.5676717584387
243,325,2927,13.54,0.78,27.19,1482.03,6.08,0.78,26.83,390.62,28.4816808365623,62.5361593493216
243,325,2928,11.44,0.92,25.64,1480.03,8.24,0.83,25.73,387.33,33.8230852851821,51.9067040612046
243,325,2929,43.56,0.72,25.02,1483.05,25.93,0.67,24.78,389.24,120.586158762587,201.754023149779
243,325,2930,37.81,0.87,24.46,1471.05,24.92,0.71,24.93,381.44,113.042671829429,171.636668157044
243,325,2931,22.08,0.9,23.7,1467.71,16.54,0.77,23.7,379.18,63.9715657041034,99.488270558322
243,325,2932,11.62,0.84,25.84,1483.14,4.98,0.75,25.78,393.22,22.2183526846406,52.7092980495607
243,325,2933,12.51,0.84,27.24,1483.86,7.51,0.76,27.24,390.58,37.2542529325323,57.7810372547642
243,325,2934,19.96,0.9,26.81,1468.04,11.76,0.82,26.25,383.93,51.1209547694523,91.0258934829737
243,325,2935,13.26,0.92,26.62,1480.7,8.06,0.86,26.56,389.92,33.8254232070609,60.217403698821
243,325,2936,24.04,0.86,26.93,1464.97,11.44,0.79,26.8,384.61,53.6099367052605,109.906706340746
243,325,2937,10.2,0.93,26.32,1480.16,5.14,0.91,26.14,390.99,19.8553130337934,45.9313932227721
243,325,2938,18.52,0.9,26.75,1472.87,11.13,0.83,26.81,384.49,49.8144867851733,84.5093206192503
243,325,2939,20.25,0.84,26.02,1472.25,10.33,0.7,25.73,386.9,49.8389649827178,92.5125007268228
243,325,2940,19.06,0.82,26.79,1483.73,8.75,0.7,26.8,391.88,45.3619569208734,87.5372780449309
243,325,2941,11.31,0.92,26.03,1482.43,8.15,0.87,25.99,388.39,32.5980269261443,51.369943411047
244,638,2942,20.62,0.85,28.31,1467.14,12.14,0.73,27.54,384.82,66.9144268959239,96.4899661881673
244,638,2943,17.48,0.38,26,1477.12,8.66,0.43,27.24,388.27,86.7865120793486,93.5803929656339
244,638,2944,32.96,0.8,26.86,1454.8,15.64,0.7,26.37,379.43,83.0078075385455,153.075994297326
244,638,2945,20.88,0.71,30.19,1470.95,7.27,0.67,30.03,389.35,54.0054306517823,100.840849625573
244,638,2946,8.58,0.96,24.96,1482.23,2.84,0.95,24.83,393.56,9.81048245888578,38.090615781338
244,638,2947,11.64,0.69,24.01,1488.17,2.81,0.65,25.23,396.78,14.0167588881948,53.2362075927019
244,638,2948,36.22,0.48,28.6,1474.82,13.16,0.51,28.16,391.11,114.004600817251,186.275087364529
244,638,2949,32.41,0.75,28.42,1486.5,9.73,0.74,28.23,394.82,54.4941441254587,151.661858516093
244,638,2950,13.9,0.74,24.9,1481.8,6.2,0.71,25.9,391.75,30.245966944846,64.0310866955174
244,638,2952,38.17,0.79,29.5,1472.29,18.39,0.67,29.3,387.08,128.741499593489,181.875222049272
244,638,2953,26.74,0.67,29.33,1463.57,11.6,0.66,29.11,384.03,81.9794563256725,130.171023870732
244,638,2954,20.03,0.82,28.44,1474.04,9.48,0.72,28.48,387.92,56.8744363344036,93.8021202280539
244,638,2955,21.64,0.76,28.85,1473.52,7.25,0.71,28.42,391.34,43.5186821495071,101.831790517699
244,638,2956,16.58,0.52,29.95,1478.29,6.63,0.64,29.7,390.29,50.3063517890009,84.899967259824
244,638,2957,16.4,0.52,29.3,1478.66,6.15,0.63,29.26,391,45.5605838522184,83.2058219316348
244,638,2958,26.08,0.73,28.99,1465.26,9.91,0.63,29.08,385.91,73.3433719168281,124.629718402379
244,638,2959,15.4,0.81,24.96,1479.8,8.01,0.84,25.23,387.83,32.0157860021291,70.1896679604336
244,638,2960,32.37,0.83,28.63,1468.42,11.96,0.76,28.48,388.66,67.6051957524174,150.507331628969
244,638,2951,15.16,0.77,24.93,1479.31,6.74,0.64,25.23,390.23,34.7344504771738,69.6197897075467
244,638,2961,23.04,0.79,28.18,1476.99,7.37,0.74,27.88,392.03,40.4006650344434,107.06478644503
245,1514,2962,12.6,0.75,25.55,1483.18,3.44,0.8,25.4,394.56,15.2687031216153,58.3514887899476
245,1514,2987,9.47,0.96,22.42,1481.08,5,0.93,22.25,391.53,15.698216796142,42.1393187281907
245,1514,2988,7.2,0.93,22.28,1487.45,3.98,0.88,22.16,393.04,12.9406139305459,32.1404627570977
245,1514,2964,17.56,0.81,25.16,1474.96,5.33,0.78,25.39,391.49,24.4022632693737,80.5310993636121
245,1514,2976,15.82,0.79,24.26,1477.52,5.37,0.74,24.26,392.24,23.6519234193351,72.428613949355
245,1514,2963,19.7,0.88,23.04,1470.75,9.12,0.84,22.87,387.58,32.7134582040279,88.7157912920593
245,1514,2965,17.8,0.84,25.44,1473.34,7.06,0.79,25.74,389.79,32.9496987820656,81.7980897649521
245,1514,2982,13.38,0.59,23.53,1482.89,2.08,0.75,23.43,398.1,8.38247289549173,62.801020289138
245,1514,2989,8.45,0.7,22.68,1488.51,1.78,0.75,22.31,397.83,6.61846964392752,38.562185943155
245,1514,2983,12.24,0.84,22.8,1482.35,5.02,0.76,23.22,392.76,19.9253722723262,55.2503317286711
245,1514,2992,12.58,0.76,23.49,1482.97,3.8,0.73,23.33,394.67,15.7069147539824,57.4234061882717
245,1514,2977,15.6,0.71,24.21,1488.17,4.33,0.72,24.27,396.1,19.4105248403767,72.1056062427448
245,1514,2978,13.26,0.73,22.95,1481.61,4.74,0.72,22.77,393.8,19.0718056021716,60.7356993773463
245,1514,2966,26.33,0.67,24.57,1487.45,5.7,0.73,24.47,396.84,25.5628757927242,122.636708245949
245,1514,2967,14.88,0.87,26.19,1476.12,4.88,0.88,25.84,391.8,20.616725648991,68.0766424344898
245,1514,2968,23.36,0.89,24.22,1463.86,11.78,0.83,24.13,382.76,47.2456857771433,106.166325526158
245,1514,2984,15.36,0.84,22.91,1478.33,7.49,0.79,22.86,389.93,28.1640775315342,69.5347214394004
245,1514,2969,12.64,0.65,24.08,1483.6,3.98,0.73,24,393.71,17.3457065241426,59.1709846417019
245,1514,2985,7.53,0.95,22.54,1485.56,3.08,0.93,22.4,394.65,9.70354741355468,33.4260788016174
245,1514,2979,10.4,0.89,23.66,1483.17,4.57,0.88,23.32,391.93,16.1043964240006,46.8416853312195
245,1514,2990,9.37,0.95,22.35,1482.26,3.69,0.93,22.3,393.3,11.5816449456929,41.5437266170028
245,1514,2971,20.28,0.8,24.92,1471.24,9.43,0.67,24.64,387.57,47.7833239119848,93.9220382491266
245,1514,2970,26.98,0.8,24.02,1461.47,8,0.82,23.53,389.66,30.5597945597647,122.87926391317
245,1514,2972,28.18,0.7,26.51,1462.53,11.8,0.65,26.24,383.74,71.4615538850217,134.683394432282
245,1514,2991,7.37,0.92,22.49,1487.24,1.82,0.93,21.96,396.06,5.55904937602133,32.627620534056
245,1514,2980,9.45,0.92,23.91,1484.08,4.08,0.88,23.77,393.05,14.7973817776694,42.4808161125654
245,1514,2981,10.88,0.9,22.85,1482.91,4.31,0.85,22.7,393.24,14.9438165442909,48.6630589557903
245,1514,2986,8.74,0.91,22.01,1486.65,3.84,0.86,22.21,394.7,12.718541633311,38.9128313220536
245,1514,2973,16.46,0.92,24.26,1472.19,7.34,0.88,24.19,388.43,27.7026710592038,74.2735911594773
245,1514,2974,15.56,0.52,24.01,1479.61,4.15,0.62,23.97,393.6,21.2180731668404,75.4171905089817
245,1514,2975,19.31,0.67,25.41,1480.78,6.66,0.6,25.29,393.52,39.4476860333021,91.5135968158711
245,1514,2993,11.4,0.86,23.86,1486.86,4,0.79,23.81,395.43,15.9107088049957,51.4931363543294
245,1514,2994,11.62,0.91,23.46,1482.24,5,0.91,22.95,392.35,16.6974267224958,52.1121656080897
