"Site.ID","SAMPLE.ID","Asat_Photo..umol.m2.s.","d13C12C","Vcmax"
224,2600,9.87,-32.12,36.6807974768938
224,2601,10.56,-32.71,38.255941449048
224,2602,6.62,-30.57,26.4609480076802
224,2604,11.95,-29.92,49.3851245915176
224,2605,12.65,-29,54.9839718307936
224,2606,6.58,-32.06,24.5189862314194
224,2607,11.34,-31.31,43.7302869115803
224,2608,11.13,-28.65,49.3695729806883
224,2609,12.12,-29.09,52.4113273665098
224,2610,7.89,-32.17,29.2576939028365
224,2611,17.5,-30.2,71.2741792055073
224,2612,9.69,-30.48,38.9072061495561
224,2613,11.88,-30.69,47.2035123281509
224,2614,7.72,-30.64,30.7504217452048
224,2615,10.32,-31.15,40.0995790291324
224,2616,11.45,-29.08,49.5420700541646
224,2617,10.4,-31.49,39.7694336214828
224,2618,10.23,-31.18,39.693148745621
224,2619,9.07,-33.72,31.5304981864076
224,2620,9.17,-31.02,35.8537078059743
224,2621,7.76,-30.72,30.7876220131226
224,2622,6.05,-34.15,20.6838121396656
224,2623,9.58,-30.46,38.5042834294886
224,2624,8.08,-29.39,34.3598033903029
224,2625,10.45,-29.46,44.2673612818322
224,2626,9.44,-30.39,38.0760283761964
224,2627,11.65,-28.87,51.016941731957
224,2628,11.45,-29.02,49.7113448840603
224,2629,9.95,-31.41,38.190598344281
224,2630,9.08,-30.09,37.1920962558158
224,2631,8.46,-28.96,36.8561298745089
224,2632,10,-30.24,40.6444615652922
224,2633,10.69,-30.1,43.7639959939598
